clim.mean,clim.var,pop.var,lt.pop.lam,sub.corr,clim.sd,rho,asp.mag,rep,asp.effects,AtoB,BtoA
-2.2965726303977226e-8,1.0398993192541432e-12,3.847726705006055e-15,0.758628807340787,-0.9999999999996471,0.001,0,15,1,,0,0
8.120306804120562e-8,1.034016177621625e-12,4.259205540120177e-15,0.758628816808078,-0.9999999999996168,0.001,0.25,15,1,,0,0
-9.772818972483154e-8,1.0248215535549484e-12,5.5696707042548076e-15,0.7586288007330236,-0.9999999999995361,0.001,0.5,15,1,,0,0
5.3976488867978335e-8,9.837370531905694e-13,2.3325983953931895e-15,0.6996659606825114,-0.9999999999988056,0.001,0,16,1,,0,0
1.314008459758919e-8,1.0591119866520755e-12,3.026215481644882e-15,0.6996659576111506,-0.9999999999986594,0.001,0.25,16,1,,0,0
-3.1054385828992146e-8,7.758005861898117e-13,2.6151914749359113e-15,0.6996659542555008,-0.9999999999976218,0.001,0.5,16,1,,0,0
4.663072456635744e-8,9.614213639376818e-13,1.3216149658874195e-15,0.6509765148286936,-0.9999999999920876,0.001,0,17,1,,0,0
1.2649435575320434e-8,9.908040025835594e-13,1.5969638817399413e-15,0.6509765128638276,-0.9999999999896838,0.001,0.25,17,1,,0,0
-2.1090799987963982e-8,7.92154952567012e-13,1.6366935809849965e-15,0.6509765107921511,-0.9999999999914762,0.001,0.5,17,1,,0,0
-4.817805056010865e-8,1.0823484509485092e-12,6.803573210258474e-16,0.613147647519571,-0.9999999999633611,0.001,0,18,1,,0,0
2.0061115656923258e-8,8.611851871431932e-13,6.24183884095726e-16,0.6131476502635573,-0.9999999999374583,0.001,0.25,18,1,,0,0
-7.166095087434392e-8,9.40425311542232e-13,1.004821646589385e-15,0.6131476466005613,-0.9999999999591216,0.001,0.5,18,1,,0,0
5.6817943312529764e-8,1.0474184769098222e-12,1.685779070226039e-15,0.5864662406256239,-0.9999999996359661,0.001,0,19,1,,0,0
7.43588472420966e-8,1.0595862261609926e-12,1.8832228064104606e-15,0.5864662411122191,-0.9999999997312289,0.001,0.25,19,1,,0,0
-1.1137149399202504e-9,1.1238519433870719e-12,2.0717548248896712e-15,0.586466238876946,-0.9999999997642893,0.001,0.5,19,1,,0,0
3.4600440113165765e-9,1.0226515179652192e-12,8.465768797191864e-13,0.570417582419909,-0.9999999973781927,0.001,0,20,1,,0,0
-2.3851379228461854e-8,1.0007244589479392e-12,8.430307012251969e-13,0.5704175817603178,-0.9999999982672011,0.001,0.25,20,1,,0,0
-9.699891816569267e-8,1.0247376600468188e-12,8.464326511130797e-13,0.5704175802612526,-0.999999998247606,0.001,0.5,20,1,,0,0
0.018226387574143903,0.9671107940589575,1.0153229173779728e-6,0.9994717308888867,1,1,0,0,1,,0,0
-0.08577547951425613,0.9981900095819901,1.2506380616078374e-6,0.9994208597352056,1,1,0.25,0,1,,0,0
-0.09063371346608305,0.9453023113065309,1.5250858665642332e-6,0.9994944742620542,1,1,0.5,0,1,,0,0
0.08328568316889517,0.8804229489571169,2.0208823728397256e-6,0.9974694282468295,-0.6294513482740252,1,0,1,1,,0,0
-0.06709444484814955,0.9617858504651882,2.3108548299697982e-6,0.9971675320481126,-0.6011534646473488,1,0.25,1,1,,0,0
-0.040457611232916565,0.9980548458334059,3.0868249988754963e-6,0.9971884242538558,-0.5880407648473271,1,0.5,1,1,,0,0
-0.01226602309022472,0.9929190199280415,1.2310157654208467e-5,0.9982327568869744,-0.8770646683555545,1,0,2,1,,0,0
0.04378926737201552,1.1259312553281844,1.85525846778295e-5,0.9983371748708001,-0.8411444319374399,1,0.25,2,1,,0,0
0.11483843315418472,1.07806935138256,2.1000034640727707e-5,0.9986681354259268,-0.857169814134526,1,0.5,2,1,,0,0
-0.0363727140640535,1.0402403473541875,3.586005535239763e-5,0.9992881476968095,-0.9191863396634666,1,0,3,1,,0,0
0.033518097950480455,1.0002111965385456,4.2089055555862214e-5,1.0000088123538657,-0.9377706897823538,1,0.25,3,1,,0,0
-0.004691943383099349,1.0739518964549124,5.863518244653436e-5,0.9995598621617681,-0.9227611418620137,1,0.5,3,1,,0,0
-0.029759600558232253,0.8956603646226052,5.9185658288172606e-5,0.9978889759788139,-0.9722852602445471,1,0,4,1,,0,0
0.03594240568164531,0.974461606876537,7.674571684816568e-5,0.9986773536892889,-0.9651338661754751,1,0.25,4,1,,0,0
-0.1317856915597552,0.8799219704530389,9.629686688879174e-5,0.996505340410842,-0.9719749758177992,1,0.5,4,1,,0,0
-0.015037958735913237,1.0473291726789749,1.373201659937238e-4,0.9982114913724555,-0.976246704042953,1,0,5,1,,0,0
-0.21411670342468797,0.9224932479916036,1.6424686820996714e-4,0.9946806666489192,-0.97872177601532,1,0.25,5,1,,0,0
-0.04414027147893138,0.9324268308543272,1.7643373521432056e-4,0.9979431497390041,-0.9788975278932677,1,0.5,5,1,,0,0
0.07213784398530576,1.0029278039371916,2.345493963775738e-4,0.9997456044335232,-0.9903515467122699,1,0,6,1,,0,0
-0.08671252757442041,0.9882901254926942,3.0572926086477105e-4,0.995772649545194,-0.9910364995191591,1,0.25,6,1,,0,0
-0.07227865065532824,0.9188957836413845,3.7870544533362345e-4,0.9963874915970302,-0.9879701046751732,1,0.5,6,1,,0,0
-0.005467974913252012,0.9315802319750888,3.5701822051415654e-4,0.9970006206530655,-0.9996479522708168,1,0,7,1,,0,0
0.007805270416318753,1.0226177364562563,5.820396652659763e-4,0.9971043611346557,-0.9993280603261222,1,0.25,7,1,,0,0
0.141222100961452,0.9367599741111413,6.499090140516708e-4,1.0021121437788398,-0.9995569743678936,1,0.5,7,1,,0,0
-0.0022181579473503944,1.0204991615278973,8.543601914203152e-4,0.9966724534274389,-0.9949905391972744,1,0,8,1,,0,0
0.058862507282787774,0.983762413536855,8.495214818326922e-4,0.9998746140342784,-0.9948324153304031,1,0.25,8,1,,0,0
0.141222100961452,0.9367599741111413,0.0011785832542648659,1.0038333113846003,-0.994173585568416,1,0.5,8,1,,0,0
0.04407151090041776,0.8880578461510094,0.0011616595209290102,0.9989149093930727,-0.9777884807455789,1,0,9,1,,0,0
-0.018916407287093186,1.1198190612700851,0.0018648654376109484,0.9942694887355309,-0.9733318400044203,1,0.25,9,1,,0,0
-0.09275517954008797,1.0255666367611418,0.002355392139631636,0.9903591842637163,-0.9735964067363346,1,0.5,9,1,,0,0
-0.019322330163811414,1.0291250417499629,0.0024896426012835336,0.9954607181680518,-0.9450407478376674,1,0,10,1,,0,0
-0.029868773565990683,0.9535256823694342,0.0029211586816840153,0.9950289109015664,-0.9506529548707027,1,0.25,10,1,,0,0
-0.001458969244994711,0.9819184041451289,0.003735663972709246,0.9971500393376944,-0.9530541166197627,1,0.5,10,1,,0,0
0.07145813313614549,1.0179481677482594,0.003303683352446884,1.004568731724016,-0.8837434009574876,1,0,11,1,,0,0
-0.03206076096095484,1.0021970055146265,0.004838399083047519,0.9946630842833346,-0.9198937915834505,1,0.25,11,1,,0,0
-0.0947445250983316,1.0748938726541308,0.006561566547074313,0.9885667471119896,-0.909732014337502,1,0.5,11,1,,0,0
0.05944686108958774,0.9079682459007975,0.004465270698407345,1.0059127638827075,-0.9179278966311881,1,0,12,1,,0,0
-0.06868541517370716,0.9877497561302473,0.006823973906325918,0.99127198855854,-0.9001543328793274,1,0.25,12,1,,0,0
-0.08273856254381985,1.0203419538311986,0.009260078722218616,0.9894018867502614,-0.9081431524667738,1,0.5,12,1,,0,0
0.010314513575627104,1.0495245743472421,0.0054142726882093,0.9033673710968174,-0.8722356889547288,1,0,13,1,,0,0
0.0038281204108210165,1.0164365024922895,0.005925679199467414,0.902612265496328,-0.8626907333556906,1,0.25,13,1,,0,0
0.11952012205375538,1.0266012683161785,0.008898392154227002,0.9148486179599313,-0.8971565544829144,1,0.5,13,1,,0,0
0.003063289951924863,1.089062896429869,0.004795417149594752,0.8324132841877785,-0.8939239347793295,1,0,14,1,,0,0
0.05674795137178531,0.9771171806659633,0.005683427760066968,0.8379223218554828,-0.8777752891600894,1,0.25,14,1,,0,0
0.21686577685563205,1.0442090970465736,0.008278153493882225,0.8542843382160676,-0.9048816023564451,1,0.5,14,1,,0,0
0.029528878587603464,1.0700829637351064,0.0035928990608769177,0.7668533441076588,-0.8903395459165414,1,0,15,1,,0,0
0.1629316034730403,1.0248114601220093,0.004971263968713091,0.7789353518735284,-0.888928624139259,1,0.25,15,1,,0,0
0.01924737410162899,0.9402780226169646,0.004743176675951468,0.7656567885726532,-0.8747708914467306,1,0.5,15,1,,0,0
-0.01784277280513873,0.9744802382366085,0.002440272036800904,0.705076031602494,-0.8645170176400091,1,0,16,1,,0,0
-0.08593834377534142,0.9718134921503674,0.0027068488348077667,0.7003017334657962,-0.878655624176627,1,0.25,16,1,,0,0
