clim.mean,clim.var,pop.var,lt.pop.lam,asp.effect,asp.mag,clim.sd,rho,rep,move.rate
1.639815133169734e-5,1.1200039322996698e-6,8.069657203815388e-15,0.9986364130619982,"c(-1,1)",1.25,0.001,0.2,1,0
-7.400319856501651e-5,1.1433918515777232e-6,1.448493408566169e-14,1.0025459442744817,"c(-1,1)",1.5,0.001,0,1,0
-1.0650733170888843e-4,1.0821836473079167e-6,1.3760346936082555e-14,1.002545943249092,"c(-1,1)",1.5,0.001,0.1,1,0
1.5000405342615186e-5,1.0456668513878078e-6,1.4308281004966546e-14,1.0025459457302188,"c(-1,1)",1.5,0.001,0.2,1,0
9.22076196990654e-6,9.60154933115638e-7,2.6472686270814433e-14,1.001351225980889,"c(-1,1)",1.75,0.001,0,1,0
1.0363515839701587e-4,9.341675132712499e-7,2.854233008188513e-14,1.0013512278397667,"c(-1,1)",1.75,0.001,0.1,1,0
-1.0329616492870319e-4,1.0785387109203559e-6,2.6057119390599368e-14,1.0013512215174243,"c(-1,1)",1.75,0.001,0.2,1,0
1.5406930682563787e-4,1.0073941637851116e-6,5.2143821034725947e-14,0.9999720661715137,"c(-1,1)",2,0.001,0,1,0
-1.8468650973771367e-6,8.30129331299699e-7,4.67182453646927e-14,0.9999720535314404,"c(-1,1)",2,0.001,0.1,1,0
-1.1026710993285056e-4,1.024300733914471e-6,4.899801398054253e-14,0.9999720525195789,"c(-1,1)",2,0.001,0.2,1,0
-5.619456760358817e-5,9.334811898083348e-7,8.039646186436332e-14,0.9984081093235028,"c(-1,1)",2.25,0.001,0,1,0
1.1717854254886148e-4,9.558915093556167e-7,8.550268214918147e-14,0.9984081441641749,"c(-1,1)",2.25,0.001,0.1,1,0
-2.1593198062390542e-5,9.856399191713586e-7,8.30359485188719e-14,0.9984081234497878,"c(-1,1)",2.25,0.001,0.2,1,0
4.371232515511883e-5,8.888405681204792e-7,1.3582455042867007e-13,0.9966590606548416,"c(-1,1)",2.5,0.001,0,1,0
