pop_group,lam_geom,lam_var,lam_stoch,clim.mean,clim.var,asp.effects,asp.mag,clim.sd,rho,rep,move.rate,mean.sub.corr
pop,1.000571802761648,1.348751676784541e-12,1.0005718027609731,6.825101018755449e-6,9.885515470298882e-7,"-1,1",5,0.001,0,1,0.05,-0.9999999582359188
s_-1,1.000763552397117,3.5070752371879505e-10,1.0007635522216294,6.825101018755449e-6,9.885515470298882e-7,"-1,1",5,0.001,0,1,0.05,-0.9999999582359188
s_1,1.0003731108382852,3.5663893783819134e-10,1.0003731106598992,6.825101018755449e-6,9.885515470298882e-7,"-1,1",5,0.001,0,1,0.05,-0.9999999582359188
pop,1.00057175080921,1.3005099432074033e-12,1.0005717508085594,-3.1731995890579636e-5,9.743701818685707e-7,"-1,1",5,0.001,0.2,1,0.05,-0.9999999569017017
s_-1,1.0007628256353898,3.456852413078747e-10,1.0007628254624152,-3.1731995890579636e-5,9.743701818685707e-7,"-1,1",5,0.001,0.2,1,0.05,-0.9999999569017017
s_1,1.0003738434903389,3.5151371632001365e-10,1.0003738433145164,-3.1731995890579636e-5,9.743701818685707e-7,"-1,1",5,0.001,0.2,1,0.05,-0.9999999569017017
pop,1.0002064088564906,3.827735955372159e-12,1.0002064088545763,3.831883274516478e-5,1.0506551194727086e-6,"-1,1",6,0.001,0,1,0.05,-0.9999999689316356
s_-1,1.000465734184615,6.853791558142901e-10,1.000465733841766,3.831883274516478e-5,1.0506551194727086e-6,"-1,1",6,0.001,0,1,0.05,-0.9999999689316356
s_1,0.9999347724642649,6.972030978988065e-10,0.999934772115686,3.831883274516478e-5,1.0506551194727086e-6,"-1,1",6,0.001,0,1,0.05,-0.9999999689316356
pop,1.0002063224024564,3.8290902126135595e-12,1.0002063224005415,-8.393632393394011e-5,9.755459469290103e-7,"-1,1",6,0.001,0.2,1,0.05,-0.9999999753981276
s_-1,1.0004626102611829,6.364546132950505e-10,1.0004626099428084,-8.393632393394011e-5,9.755459469290103e-7,"-1,1",6,0.001,0.2,1,0.05,-0.9999999753981276
s_1,0.9999379216105115,6.472878844994185e-10,0.9999379212868877,-8.393632393394011e-5,9.755459469290103e-7,"-1,1",6,0.001,0.2,1,0.05,-0.9999999753981276
pop,0.9995211472164246,1.039596749078923e-11,0.9995211472112291,-9.030506507439886e-5,1.1137234256060637e-6,"-1,1",7,0.001,0,1,0.05,-0.9999999859927714
s_-1,0.9998611185207182,1.3025872203051035e-9,0.9998611178695151,-9.030506507439886e-5,1.1137234256060637e-6,"-1,1",7,0.001,0,1,0.05,-0.9999999859927714
s_1,0.9991607503915215,1.325169961634507e-9,0.9991607497294926,-9.030506507439886e-5,1.1137234256060637e-6,"-1,1",7,0.001,0,1,0.05,-0.9999999859927714
pop,0.9995214177466655,1.0825640520704005e-11,0.9995214177412552,7.306178673259687e-5,8.61738482383402e-7,"-1,1",7,0.001,0.2,1,0.05,-0.999999984818638
s_-1,0.9998667053699307,1.007786507642549e-9,0.9998667048661046,7.306178673259687e-5,8.61738482383402e-7,"-1,1",7,0.001,0.2,1,0.05,-0.999999984818638
s_1,0.9991551205347898,1.025431070862394e-9,0.9991551200225075,7.306178673259687e-5,8.61738482383402e-7,"-1,1",7,0.001,0.2,1,0.05,-0.999999984818638
pop,0.9999124412575172,2.281115397483768e-11,0.9999124412461127,-1.2034946787800833e-4,1.0216321758674376e-6,"-1,1",8,0.001,0,1,0.05,-0.9999999912143187
s_-1,1.0003538423002185,2.1201533029595192e-9,1.0003538412397668,-1.2034946787800833e-4,1.0216321758674376e-6,"-1,1",8,0.001,0,1,0.05,-0.9999999912143187
s_1,0.9994383279311732,2.156990430403658e-9,0.9994383268532837,-1.2034946787800833e-4,1.0216321758674376e-6,"-1,1",8,0.001,0,1,0.05,-0.9999999912143187
pop,0.9999125828539437,2.2179371273902155e-11,0.999912582842855,-9.566758635712692e-5,9.641613820739505e-7,"-1,1",8,0.001,0.2,1,0.05,-0.9999999943237675
s_-1,1.0003549672537912,2.0008445430673824e-9,1.000354966253014,-9.566758635712692e-5,9.641613820739505e-7,"-1,1",8,0.001,0.2,1,0.05,-0.9999999943237675
s_1,0.9994371946334354,2.035694347464172e-9,0.999437193616161,-9.566758635712692e-5,9.641613820739505e-7,"-1,1",8,0.001,0.2,1,0.05,-0.9999999943237675
pop,0.9990453112104735,5.491690429088454e-11,0.9990453111830413,1.2930271877850797e-5,1.0857183461205007e-6,"-1,1",9,0.001,0,1,0.05,-0.9999999968511497
s_-1,0.9996173345065866,3.876579552270538e-9,0.9996173325690385,1.2930271877850797e-5,1.0857183461205007e-6,"-1,1",9,0.001,0,1,0.05,-0.9999999968511497
s_1,0.9984213430437819,3.943336640608837e-9,0.9984213410752263,1.2930271877850797e-5,1.0857183461205007e-6,"-1,1",9,0.001,0,1,0.05,-0.9999999968511497
pop,0.9990451614701209,5.195367571079065e-11,0.9990451614441689,-1.901445003330731e-5,9.304017336508382e-7,"-1,1",9,0.001,0.2,1,0.05,-0.9999999968805559
s_-1,0.9996154269486303,3.322187842620752e-9,0.9996154252881752,-1.901445003330731e-5,9.304017336508382e-7,"-1,1",9,0.001,0.2,1,0.05,-0.9999999968805559
s_1,0.9984232657302069,3.3790514389148114e-9,0.9984232640433451,-1.901445003330731e-5,9.304017336508382e-7,"-1,1",9,0.001,0.2,1,0.05,-0.9999999968805559
pop,1.0003094369590577,9.012410486298658e-11,1.0003094369139818,2.36635624133004e-5,9.417001979182895e-7,"-1,1",10,0.001,0,1,0.05,-0.9999999996996335
s_-1,1.0010178183682898,5.639223488368493e-9,1.0010178155458083,2.36635624133004e-5,9.417001979182895e-7,"-1,1",10,0.001,0,1,0.05,-0.9999999996996335
s_1,0.9995271236560043,5.730178822366777e-9,0.9995271207922698,2.36635624133004e-5,9.417001979182895e-7,"-1,1",10,0.001,0,1,0.05,-0.9999999996996335
pop,1.000309484396301,9.119040348756604e-11,1.0003094843506914,3.3057040882034295e-5,1.0895037501026711e-6,"-1,1",10,0.001,0.2,1,0.05,-0.9999999995321814
s_-1,1.0010185454663105,6.52432814258441e-9,1.0010185422008238,3.3057040882034295e-5,1.0895037501026711e-6,"-1,1",10,0.001,0.2,1,0.05,-0.9999999995321814
s_1,0.9995263906965671,6.629546412487753e-9,0.9995263873833639,3.3057040882034295e-5,1.0895037501026711e-6,"-1,1",10,0.001,0.2,1,0.05,-0.9999999995321814
pop,1.001784238361972,1.2189451050576026e-10,1.001784238300916,-6.258168340713994e-5,9.742111482896875e-7,"-1,1",11,0.001,0,1,0.05,-0.9999999994728965
s_-1,1.0026156681294025,9.253174616706416e-9,1.0026156634907135,-6.258168340713994e-5,9.742111482896875e-7,"-1,1",11,0.001,0,1,0.05,-0.9999999994728965
s_1,1.0008591407759813,9.38383090555022e-9,1.0008591360800347,-6.258168340713994e-5,9.742111482896875e-7,"-1,1",11,0.001,0,1,0.05,-0.9999999994728965
pop,1.0017844485855663,1.357079843806011e-10,1.001784448517591,-2.940466347877797e-6,1.095687001109572e-6,"-1,1",11,0.001,0.2,1,0.05,-0.9999999992332139
s_-1,1.002621495482361,1.040725842369803e-8,1.0026214902650905,-2.940466347877797e-6,1.095687001109572e-6,"-1,1",11,0.001,0.2,1,0.05,-0.9999999992332139
s_1,1.000853281936549,1.055361821008214e-8,1.0008532766552372,-2.940466347877797e-6,1.095687001109572e-6,"-1,1",11,0.001,0.2,1,0.05,-0.9999999992332139
pop,0.9513400841678559,3.185041766622482e-10,0.951340084016353,-3.897679519681058e-5,1.094167381183048e-6,"-1,1",12,0.001,0,1,0.05,-0.9999999931828739
s_-1,0.9523182722029059,1.3444529737398963e-8,0.9523182658011702,-3.897679519681058e-5,1.094167381183048e-6,"-1,1",12,0.001,0,1,0.05,-0.9999999931828739
s_1,0.9502231655593483,1.3610102908240293e-8,0.9502231590930307,-3.897679519681058e-5,1.094167381183048e-6,"-1,1",12,0.001,0,1,0.05,-0.9999999931828739
pop,0.9513423849658944,3.006837999901734e-10,0.9513423848228678,1.55555118076918e-4,8.791578518630508e-7,"-1,1",12,0.001,0.2,1,0.05,-0.9999999949499104
s_-1,0.9523388082520522,1.0802321957407688e-8,0.952338803108317,1.55555118076918e-4,8.791578518630508e-7,"-1,1",12,0.001,0.2,1,0.05,-0.9999999949499104
s_1,0.950202550129345,1.0935935134071322e-8,0.9502025449336682,1.55555118076918e-4,8.791578518630508e-7,"-1,1",12,0.001,0.2,1,0.05,-0.9999999949499104
pop,0.8859994214892452,6.297423342530906e-10,0.8859994212102694,6.119399114644604e-5,1.112200778396485e-6,"-1,1",13,0.001,0,1,0.05,-0.9999999830413644
s_-1,0.8870659518924379,1.59033805901612e-8,0.8870659448387642,6.119399114644604e-5,1.112200778396485e-6,"-1,1",13,0.001,0,1,0.05,-0.9999999830413644
