asp.effects,clim.sd,asp.mag,lt.lam,rep
"-2,1",23,1,0.7660883890329914,1
"-2,1",24,1,0.7434345363509423,1
"-2,1",25,1,0.7300130412306792,1
"-2,1",26,1,0.6904375492129327,1
"-2,1",27,1,0.7127791758838017,1
"-2,1",28,1,0.6792221101919962,1
"-2,1",29,1,0.6702288751384021,1
"-2,1",30,1,0.6762424340920551,1
"-2,1",0,2,1.447987180796854,1
"-2,1",1,2,1.4435717113876156,1
"-2,1",2,2,1.419100648780731,1
"-2,1",3,2,1.4022239606633247,1
"-2,1",4,2,1.374785122271428,1
"-2,1",5,2,1.3140655057707502,1
"-2,1",6,2,1.2953193653492336,1
"-2,1",7,2,1.225331490498128,1
"-2,1",8,2,1.1832706049923625,1
"-2,1",9,2,1.0482050442078692,1
"-2,1",10,2,1.0207196514823194,1
"-2,1",11,2,0.9978783960022958,1
"-2,1",12,2,0.9579544864175578,1
"-2,1",13,2,0.9485171773525067,1
"-2,1",14,2,0.8948688014236051,1
"-2,1",15,2,0.8977735409316342,1
"-2,1",16,2,0.8606283097986632,1
"-2,1",17,2,0.8233105190993949,1
"-2,1",18,2,0.7984899139551858,1
"-2,1",19,2,0.8157079651434753,1
"-2,1",20,2,0.8070307133061182,1
"-2,1",21,2,0.7843751783037828,1
"-2,1",22,2,0.7235158990634852,1
"-2,1",23,2,0.7385016938291228,1
"-2,1",24,2,0.7386970091779264,1
"-2,1",25,2,0.7283445767364585,1
"-2,1",26,2,0.7278695262870086,1
"-2,1",27,2,0.7350156462159445,1
"-2,1",28,2,0.7026429405463245,1
"-2,1",29,2,0.6793810871892974,1
"-2,1",30,2,0.6852187699247747,1
"-2,1",0,3,1.4232995828837358,1
"-2,1",1,3,1.4182051476598034,1
"-2,1",2,3,1.402267121228514,1
"-2,1",3,3,1.3840393436554257,1
"-2,1",4,3,1.336774762092318,1
"-2,1",5,3,1.2740538189716188,1
"-2,1",6,3,1.2827419077596243,1
"-2,1",7,3,1.2177777537558594,1
"-2,1",8,3,1.1277945920728683,1
"-2,1",9,3,1.0959898467277063,1
"-2,1",10,3,1.0724360507768549,1
"-2,1",11,3,0.9769702485140372,1
"-2,1",12,3,0.9980609578565701,1
"-2,1",13,3,0.9608583920854784,1
"-2,1",14,3,0.8932820067852146,1
"-2,1",15,3,0.8798707168768396,1
"-2,1",16,3,0.8350550151469808,1
"-2,1",17,3,0.781761200061148,1
"-2,1",18,3,0.8256268782752197,1
"-2,1",19,3,0.7735332703974258,1
"-2,1",20,3,0.7768558753353786,1
"-2,1",21,3,0.7783410942691498,1
"-2,1",22,3,0.76556882334101,1
"-2,1",23,3,0.7106100697999828,1
"-2,1",24,3,0.7108290558236686,1
"-2,1",25,3,0.7306367967117585,1
"-2,1",26,3,0.692523747165606,1
"-2,1",27,3,0.7079376055093212,1
"-2,1",28,3,0.6814774390441014,1
"-2,1",29,3,0.6753442861991357,1
"-2,1",30,3,0.6549004319883379,1
"-2,1",0,4,1.3881812853707598,1
"-2,1",1,4,1.3892949579615421,1
"-2,1",2,4,1.3594623747765229,1
"-2,1",3,4,1.355703851534089,1
"-2,1",4,4,1.3111520137393555,1
"-2,1",5,4,1.2704663267772824,1
"-2,1",6,4,1.212739213417007,1
"-2,1",7,4,1.1775839330221065,1
"-2,1",8,4,1.0759757892464383,1
"-2,1",9,4,1.1058275652687029,1
"-2,1",10,4,1.0346064320994692,1
"-2,1",11,4,0.9908971283494258,1
"-2,1",12,4,0.9979376710088326,1
"-2,1",13,4,0.9346756810738857,1
"-2,1",14,4,0.8961264778737147,1
"-2,1",15,4,0.8424594489812227,1
"-2,1",16,4,0.8636754852658193,1
"-2,1",17,4,0.8230433653702067,1
"-2,1",18,4,0.8289483022003235,1
"-2,1",19,4,0.8085113383671849,1
"-2,1",20,4,0.7673462071783842,1
"-2,1",21,4,0.7586172341806927,1
"-2,1",22,4,0.7478300351907883,1
"-2,1",23,4,0.7318702222501803,1
"-2,1",24,4,0.7110572340354966,1
"-2,1",25,4,0.7042664140772584,1
"-2,1",26,4,0.6992996876744205,1
"-2,1",27,4,0.6938997130143714,1
"-2,1",28,4,0.7032066374020444,1
"-2,1",29,4,0.6825477172300962,1
"-2,1",30,4,0.6742941373568244,1
"-2,1",0,5,1.343533477554857,1
"-2,1",1,5,1.3342019670086944,1
"-2,1",2,5,1.3349232589258802,1
"-2,1",3,5,1.3075001928424967,1
"-2,1",4,5,1.2555694808077342,1
"-2,1",5,5,1.2212238145819896,1
"-2,1",6,5,1.1686563284458638,1
"-2,1",7,5,1.143417289669419,1
"-2,1",8,5,1.1210505413183443,1
"-2,1",9,5,1.0580246390340173,1
"-2,1",10,5,0.9882275089061293,1
"-2,1",11,5,0.992696120136165,1
"-2,1",12,5,0.9474691644978517,1
"-2,1",13,5,0.8906211325214638,1
"-2,1",14,5,0.8708260310915888,1
"-2,1",15,5,0.8575970540150982,1
"-2,1",16,5,0.8113711606567827,1
"-2,1",17,5,0.7907453536176196,1
"-2,1",18,5,0.7553530393391915,1
"-2,1",19,5,0.8076593208419014,1
"-2,1",20,5,0.7862293696044608,1
"-2,1",21,5,0.7496222148058905,1
"-2,1",22,5,0.7284465653613328,1
"-2,1",23,5,0.7636268403584836,1
"-2,1",24,5,0.7012635056856901,1
"-2,1",25,5,0.7007477525726513,1
"-2,1",26,5,0.6922180409075614,1
"-2,1",27,5,0.7011256792469722,1
"-2,1",28,5,0.6838549836730333,1
"-2,1",29,5,0.6692263923493902,1
"-2,1",30,5,0.7119386644879753,1
"-2,1",0,6,1.289939780034415,1
"-2,1",1,6,1.2888970959507864,1
"-2,1",2,6,1.2620806846391275,1
"-2,1",3,6,1.2410316301351068,1
"-2,1",4,6,1.2317733768008716,1
"-2,1",5,6,1.1710655906867236,1
"-2,1",6,6,1.1281811065320497,1
"-2,1",7,6,1.115542536958344,1
"-2,1",8,6,1.0411627714537683,1
"-2,1",9,6,1.0653813146341875,1
"-2,1",10,6,0.9569386419523003,1
"-2,1",11,6,0.9542452159454913,1
"-2,1",12,6,0.9049988201160448,1
"-2,1",13,6,0.9406910645221056,1
"-2,1",14,6,0.8943911312784917,1
"-2,1",15,6,0.8070465267632788,1
"-2,1",16,6,0.8482451224602381,1
"-2,1",17,6,0.8343472801824336,1
"-2,1",18,6,0.7537734676252145,1
"-2,1",19,6,0.7982555528685872,1
"-2,1",20,6,0.7727865965225225,1
"-2,1",21,6,0.74921039046115,1
"-2,1",22,6,0.7551722395663055,1
"-2,1",23,6,0.7101951195187457,1
"-2,1",24,6,0.7307455874962169,1
"-2,1",25,6,0.6962319104327053,1
"-2,1",26,6,0.719490638681131,1
"-2,1",27,6,0.6859564256340265,1
"-2,1",28,6,0.691340536295272,1
"-2,1",29,6,0.693988168126999,1
"-2,1",30,6,0.6733464249900025,1
"-2,1",0,7,1.2281738291908797,1
