reps,asp.mag,clim.sd,mean.lt.lam,max.lt.lam,seeds
4,10,0,0.7720249797092231,0.7720249797092231,2098.08349609375
4,11,0,0.6955995094559142,0.6955995094559142,5912.78076171875
4,12,0,0.61631854826618,0.61631854826618,16784.66796875
4,13,9,0.5791207750278204,0.6032915008620601,18310.546875
4,14,10,0.5572471453843924,0.5696947267270825,31661.9873046875
4,15,11,0.5381866953399271,0.5651310851423501,32043.45703125
4,16,13,0.5249782833724237,0.5394316630263195,46539.306640625
4,17,14,0.5113043622364365,0.5427465397139339,65994.2626953125
4,18,16,0.5000651983358957,0.5185493031201076,83160.400390625
4,19,17,0.4911174126624387,0.5092751985418753,83160.400390625
4,20,19,0.48416740516266465,0.4984891561057723,96130.37109375
4,21,18,0.4755897610174767,0.48966643073841193,164794.921875
4,22,19,0.46779865491038425,0.4797373853104253,189208.984375
