asp.mag,clim.sd,mean.lt.lam,max.lt.lam,seeds,rep
29,28,0.5916557450474588,0.6101054496589338,38146.97265625,3
30,25,0.5876910066439758,0.5994874007215275,55694.580078125,3
0,0,1.2561119487386403,1.2561119487386403,20.86162567138672,4
1,0,1.2524774236913772,1.2524774236913772,20.86162567138672,4
2,0,1.2415989558082263,1.2415989558082263,23.096799850463867,4
3,0,1.2235561850684853,1.2235561850684853,26.82209014892578,4
4,0,1.198495789451586,1.198495789451586,32.03749656677246,4
5,0,1.166650933907636,1.166650933907636,41.72325134277344,4
6,0,1.128365908368662,1.128365908368662,58.11452865600586,4
7,0,1.084123875412064,1.084123875412064,86.4267349243164,4
8,0,1.034574514797511,1.034574514797511,140.07091522216797,4
9,0,0.9805544375502931,0.9805544375502931,244.37904357910156,4
10,0,0.9230881865987866,0.9230881865987866,470.87669372558594,4
11,0,0.8633696472948229,0.8633696472948229,965.5952453613281,4
12,0,0.8027816983354942,0.8027816983354942,2098.08349609375,4
13,9,0.7489311212062697,0.7671997726075899,2336.5020751953125,4
14,11,0.7267351622006185,0.754154525476294,2861.02294921875,4
15,11,0.7047776815992515,0.7253827391888152,4720.6878662109375,4
16,13,0.6897299343019275,0.7102336313905799,5626.678466796875,4
17,15,0.6734865144283344,0.6892638242065742,7057.18994140625,4
18,16,0.6626262360326545,0.6773356630339334,8869.171142578125,4
19,16,0.6521160601219143,0.6762829039044995,8201.59912109375,4
20,19,0.6439785846853435,0.6699617813833102,10299.6826171875,4
21,19,0.6370147288015122,0.6494268875739203,11825.5615234375,4
22,21,0.6281743503617003,0.6436575414219248,16212.46337890625,4
23,23,0.6210049058271936,0.6509795231359721,22506.7138671875,4
24,22,0.6143764100077628,0.6249898831350166,22697.44873046875,4
25,25,0.6096382835615487,0.6287931458865162,20980.8349609375,4
26,23,0.6064646152588585,0.6228695285895267,28991.69921875,4
27,23,0.5994315724047709,0.6171172737114661,32424.9267578125,4
28,24,0.5969592314863523,0.6085204017451312,28991.69921875,4
29,28,0.5916557450474588,0.6101054496589338,35476.6845703125,4
30,25,0.5876910066439758,0.5994874007215275,55694.580078125,4
