clim.sd,asp.mag,lt.lam,rep
3,3,1.192685704844138,1
4,3,1.1687782918207943,1
5,3,1.134234845748855,1
6,3,1.09714782672612,1
7,3,1.0745062594449393,1
8,3,1.005275403979589,1
9,3,0.9995309019329696,1
10,3,0.9477799187796497,1
11,3,0.9072223914545637,1
12,3,0.8979567387818137,1
13,3,0.8738940221702731,1
14,3,0.8195887556927612,1
15,3,0.8122841045510473,1
16,3,0.7716375537505212,1
17,3,0.7801399049564417,1
18,3,0.7895392560960667,1
19,3,0.7340520973604931,1
20,3,0.7196558906993675,1
21,3,0.7295938890182871,1
22,3,0.7195684773809795,1
23,3,0.699670406267985,1
24,3,0.7068986104887239,1
25,3,0.6717964818891446,1
26,3,0.6698419674993179,1
27,3,0.6635042514646359,1
28,3,0.6515851617988455,1
29,3,0.6666083829579601,1
30,3,0.6601924096346582,1
0,4,1.198495789451586,1
1,4,1.195421233384308,1
2,4,1.1841275645089053,1
3,4,1.1682103817791343,1
4,4,1.1466747810378926,1
5,4,1.1147157756296016,1
6,4,1.0654710928941695,1
7,4,1.0310019185950519,1
8,4,1.0096647924434543,1
9,4,0.972093770386007,1
10,4,0.9447070351569742,1
11,4,0.9221815495099244,1
12,4,0.8828342763450832,1
13,4,0.8537053025968561,1
14,4,0.8355617115614081,1
15,4,0.8131594165970556,1
16,4,0.8030617868049817,1
17,4,0.7898393349220645,1
18,4,0.7689005264174605,1
19,4,0.7529541218519005,1
20,4,0.7186533356469611,1
21,4,0.7024333200749349,1
22,4,0.7013572009106639,1
23,4,0.6931319525989247,1
24,4,0.683936166996502,1
25,4,0.6572401476109611,1
26,4,0.6721772542241243,1
27,4,0.6634791314063876,1
28,4,0.6762041791925844,1
29,4,0.6584270595562349,1
30,4,0.6491178598261648,1
0,5,1.1666509339076359,1
1,5,1.1628897027435299,1
2,5,1.152239103641098,1
3,5,1.133699340595089,1
4,5,1.11640559281465,1
5,5,1.0811852873378518,1
6,5,1.0547756490568045,1
7,5,1.0090264979264634,1
8,5,0.9793749816835787,1
9,5,0.9593058450124582,1
10,5,0.926560295512376,1
11,5,0.9062510329221662,1
12,5,0.8618970451634913,1
13,5,0.841878468687422,1
14,5,0.8091656176462916,1
15,5,0.8096198644883253,1
16,5,0.7746335194911007,1
17,5,0.7715670187568517,1
18,5,0.7362245432598985,1
19,5,0.7340266022372507,1
20,5,0.7325401064198799,1
21,5,0.7223105244227541,1
22,5,0.7240359206099003,1
23,5,0.6933109404820493,1
24,5,0.6921108213978304,1
25,5,0.6818675179431232,1
26,5,0.6712186322260154,1
27,5,0.6532348499664805,1
28,5,0.6652279494325969,1
29,5,0.6653297566259175,1
30,5,0.644069293549896,1
0,6,1.1283659083686621,1
1,6,1.1245213954622353,1
2,6,1.1131268024586751,1
3,6,1.097226029478342,1
4,6,1.069815504819564,1
5,6,1.0463803539083572,1
6,6,1.0079438816384187,1
7,6,1.0124132795923766,1
8,6,0.961398463536104,1
9,6,0.9299345025140684,1
10,6,0.9229131044070197,1
11,6,0.8866844526797435,1
12,6,0.8571935942962372,1
13,6,0.8565781068249707,1
14,6,0.7953486490174771,1
15,6,0.8043768330935629,1
16,6,0.7814228575279984,1
17,6,0.7864022204275792,1
18,6,0.7517887480580515,1
19,6,0.7454642732976576,1
20,6,0.7219109413508329,1
21,6,0.712356085476297,1
22,6,0.721230420611089,1
23,6,0.6995912060280136,1
24,6,0.6858681701548208,1
25,6,0.680578806763607,1
26,6,0.6650875564462526,1
27,6,0.6534904919728584,1
28,6,0.6672351280305256,1
29,6,0.6496729237225146,1
30,6,0.6497504330279968,1
0,7,1.084123875412064,1
1,7,1.0800612001330383,1
2,7,1.0696260874803407,1
3,7,1.0620576515722382,1
4,7,1.038338934657929,1
5,7,1.0186556022936193,1
6,7,0.9992730899655967,1
7,7,0.9685583770281059,1
8,7,0.941913762377049,1
9,7,0.9235038732051231,1
10,7,0.8803294457968455,1
11,7,0.8630236706615528,1
12,7,0.8474137442620904,1
