asp.mag,clim.sd,seeds,rep
2,6,66,2
2,7,120,2
2,8,144,2
2,9,191,2
2,10,382,2
2,11,382,2
2,12,382,2
2,13,524,2
2,14,716,2
2,15,1144,2
2,16,1717,2
2,17,1812,2
2,18,1240,2
2,19,3052,2
2,20,2194,2
3,0,30,2
3,1,30,2
3,2,30,2
3,3,42,2
3,4,54,2
3,5,72,2
3,6,96,2
3,7,96,2
3,8,168,2
3,9,406,2
3,10,286,2
3,11,477,2
3,12,382,2
3,13,763,2
3,14,1335,2
3,15,1717,2
3,16,1430,2
3,17,2480,2
3,18,4769,2
3,19,1812,2
3,20,6104,2
4,0,36,2
4,1,36,2
4,2,36,2
4,3,42,2
4,4,48,2
4,5,84,2
4,6,144,2
4,7,168,2
4,8,156,2
4,9,214,2
4,10,382,2
4,11,572,2
4,12,810,2
4,13,716,2
4,14,1335,2
4,15,1335,2
4,16,5722,2
4,17,1812,2
4,18,3434,2
4,19,2670,2
4,20,7248,2
5,0,48,2
5,1,48,2
5,2,54,2
5,3,66,2
5,4,66,2
5,5,96,2
5,6,132,2
5,7,144,2
5,8,334,2
5,9,334,2
5,10,382,2
5,11,668,2
5,12,1002,2
5,13,1002,2
5,14,1144,2
5,15,2670,2
5,16,2289,2
5,17,2480,2
5,18,2861,2
5,19,2289,2
5,20,2480,2
6,0,60,2
6,1,60,2
6,2,72,2
6,3,84,2
6,4,96,2
6,5,168,2
6,6,156,2
6,7,214,2
6,8,191,2
6,9,358,2
6,10,477,2
6,11,524,2
6,12,716,2
6,13,1240,2
6,14,1335,2
6,15,1908,2
6,16,1526,2
6,17,2670,2
6,18,3434,2
6,19,4960,2
6,20,2480,2
7,0,96,2
7,1,96,2
7,2,108,2
7,3,132,2
7,4,144,2
7,5,214,2
7,6,226,2
7,7,334,2
7,8,334,2
7,9,620,2
7,10,382,2
7,11,1049,2
7,12,763,2
7,13,620,2
7,14,2194,2
7,15,1908,2
7,16,2766,2
7,17,2384,2
7,18,4960,2
7,19,5722,2
7,20,3624,2
8,0,144,2
8,1,156,2
8,2,156,2
8,3,191,2
8,4,202,2
8,5,286,2
8,6,358,2
8,7,382,2
8,8,524,2
8,9,477,2
8,10,524,2
8,11,858,2
8,12,810,2
8,13,1335,2
8,14,1526,2
8,15,1430,2
8,16,2098,2
8,17,3243,2
8,18,3243,2
8,19,4196,2
8,20,3243,2
9,0,262,2
9,1,262,2
9,2,310,2
9,3,334,2
9,4,286,2
9,5,430,2
9,6,262,2
9,7,477,2
9,8,763,2
9,9,572,2
9,10,1049,2
9,11,1002,2
9,12,1144,2
9,13,1049,2
9,14,1526,2
9,15,2670,2
9,16,3815,2
9,17,3624,2
9,18,3052,2
9,19,6867,2
9,20,4769,2
10,0,477,2
10,1,477,2
10,2,572,2
10,3,620,2
10,4,716,2
10,5,763,2
10,6,572,2
10,7,1049,2
10,8,668,2
10,9,1430,2
10,10,858,2
10,11,858,2
10,12,1812,2
10,13,2098,2
10,14,1430,2
10,15,1622,2
10,16,4196,2
10,17,2480,2
10,18,3434,2
10,19,3434,2
10,20,5722,2
11,0,1002,2
11,1,1002,2
11,2,1144,2
11,3,1144,2
11,4,1144,2
11,5,1430,2
11,6,1049,2
11,7,906,2
11,8,1717,2
11,9,1430,2
11,10,1812,2
11,11,2289,2
11,12,1526,2
11,13,2289,2
11,14,2098,2
11,15,3243,2
11,16,2098,2
11,17,3052,2
11,18,3434,2
11,19,3815,2
11,20,6104,2
12,0,2194,2
12,1,2098,2
12,2,2098,2
12,3,2384,2
12,4,1717,2
12,5,1622,2
12,6,2289,2
12,7,1717,2
12,8,1526,2
12,9,2480,2
12,10,1908,2
12,11,1622,2
12,12,2480,2
12,13,2384,2
12,14,4578,2
12,15,2289,2
12,16,3815,2
12,17,3052,2
12,18,3624,2
12,19,7248,2
12,20,5341,2
13,0,4960,2
13,1,4960,2
13,2,3624,2
13,3,4960,2
13,4,3243,2
13,5,2575,2
13,6,1908,2
13,7,3052,2
13,8,4006,2
13,9,2670,2
13,10,3624,2
13,11,3052,2
13,12,4196,2
13,13,2098,2
13,14,4006,2
13,15,3624,2
13,16,5722,2
13,17,8774,2
13,18,3815,2
13,19,6486,2
13,20,6867,2
14,0,11063,2
14,1,10682,2
14,2,9919,2
14,3,8774,2
14,4,5150,2
14,5,7630,2
14,6,3243,2
14,7,5722,2
14,8,7630,2
14,9,3434,2
14,10,3815,2
14,11,6104,2
14,12,2098,2
14,13,5722,2
14,14,5722,2
14,15,7630,2
14,16,4578,2
14,17,3243,2
14,18,6104,2
14,19,6104,2
14,20,5722,2
15,0,24414,2
15,1,22888,2
15,2,19836,2
15,3,15258,2
15,4,10682,2
15,5,12970,2
15,6,7248,2
15,7,7248,2
15,8,7630,2
15,9,7248,2
15,10,5722,2
15,11,5341,2
15,12,6867,2
15,13,5913,2
15,14,7630,2
15,15,7630,2
15,16,3434,2
15,17,7630,2
15,18,11444,2
15,19,6104,2
15,20,3434,2
16,0,51880,2
16,1,45776,2
16,2,39672,2
16,3,25940,2
16,4,22125,2
16,5,16021,2
16,6,13732,2
16,7,12970,2
16,8,5722,2
16,9,10682,2
16,10,5722,2
16,11,7248,2
16,12,5341,2
16,13,7248,2
16,14,9156,2
16,15,8012,2
16,16,12207,2
16,17,6486,2
16,18,5722,2
16,19,12970,2
16,20,8393,2
17,0,97656,2
17,1,94604,2
17,2,79346,2
17,3,54932,2
17,4,24414,2
17,5,39672,2
17,6,25940,2
17,7,16784,2
17,8,10300,2
17,9,9919,2
17,10,14495,2
17,11,12207,2
17,12,16784,2
17,13,9919,2
17,14,9919,2
17,15,4578,2
17,16,12588,2
17,17,10300,2
17,18,15258,2
17,19,6486,2
17,20,7248,2
18,0,177002,2
18,1,170898,2
18,2,115966,2
18,3,134277,2
18,4,91552,2
18,5,51880,2
18,6,51880,2
18,7,36621,2
18,8,21362,2
18,9,19836,2
18,10,17547,2
18,11,17547,2
18,12,28992,2
18,13,8012,2
18,14,16784,2
18,15,9919,2
18,16,14495,2
18,17,8012,2
18,18,12207,2
18,19,16784,2
18,20,15258,2
19,0,280761,2
19,1,268554,2
19,2,225830,2
19,3,177002,2
19,4,134277,2
19,5,79346,2
19,6,61035,2
19,7,35096,2
19,8,44250,2
19,9,45776,2
19,10,22888,2
19,11,25940,2
19,12,15258,2
19,13,23651,2
19,14,19836,2
19,15,12207,2
19,16,16021,2
19,17,14495,2
19,18,21362,2
19,19,19836,2
19,20,7248,2
20,0,415040,2
20,1,402832,2
20,2,329589,2
20,3,305175,2
20,4,207519,2
20,5,109863,2
20,6,158691,2
20,7,57984,2
20,8,73242,2
20,9,73242,2
20,10,19836,2
20,11,15258,2
20,12,32044,2
20,13,24414,2
20,14,19836,2
20,15,10300,2
20,16,13732,2
20,17,17547,2
20,18,18310,2
20,19,17547,2
20,20,8012,2
21,0,585938,2
21,1,537110,2
21,2,488282,2
21,3,366210,2
21,4,317382,2
21,5,231933,2
21,6,115966,2
21,7,128174,2
21,8,94604,2
21,9,41198,2
21,10,51880,2
21,11,44250,2
21,12,24414,2
21,13,38146,2
21,14,21362,2
21,15,26703,2
21,16,27466,2
21,17,16784,2
21,18,27466,2
21,19,12207,2
21,20,16784,2
22,0,756836,2
22,1,732422,2
22,2,610352,2
22,3,537110,2
22,4,463868,2
22,5,292968,2
22,6,366210,2
22,7,152588,2
22,8,134277,2
22,9,103760,2
22,10,45776,2
22,11,50354,2
22,12,47302,2
22,13,39672,2
22,14,32044,2
22,15,18310,2
22,16,27466,2
22,17,18310,2
22,18,33570,2
22,19,14495,2
22,20,18310,2
23,0,927734,2
23,1,878906,2
23,2,830078,2
23,3,708008,2
23,4,488282,2
23,5,390625,2
23,6,390625,2
23,7,366210,2
23,8,158691,2
23,9,140380,2
23,10,134277,2
23,11,67138,2
23,12,73242,2
23,13,42724,2
23,14,42724,2
23,15,48828,2
23,16,33570,2
23,17,19836,2
23,18,51880,2
23,19,8393,2
23,20,45776,2
24,0,1049804,2
24,1,1025390,2
24,2,976562,2
24,3,830078,2
24,4,732422,2
24,5,463868,2
24,6,366210,2
24,7,390625,2
24,8,183105,2
24,9,115966,2
24,10,97656,2
24,11,70190,2
24,12,67138,2
24,13,79346,2
24,14,38146,2
24,15,32044,2
24,16,64086,2
24,17,51880,2
24,18,36621,2
24,19,17547,2
24,20,15258,2
25,0,1171875,2
25,1,1171875,2
25,2,1074218,2
25,3,976562,2
25,4,854492,2
25,5,683594,2
25,6,476075,2
25,7,256347,2
25,8,329589,2
25,9,280761,2
25,10,146484,2
25,11,67138,2
25,12,170898,2
25,13,103760,2
25,14,88500,2
25,15,61035,2
25,16,61035,2
25,17,44250,2
25,18,54932,2
25,19,48828,2
25,20,22125,2
26,0,1269532,2
26,1,1220704,2
26,2,1220704,2
26,3,1025390,2
26,4,1074218,2
26,5,927734,2
26,6,659180,2
26,7,415040,2
26,8,415040,2
26,9,268554,2
26,10,256347,2
26,11,152588,2
26,12,213622,2
26,13,195312,2
26,14,134277,2
26,15,61035,2
26,16,57984,2
26,17,85449,2
26,18,36621,2
26,19,51880,2
26,20,39672,2
27,0,1318360,2
27,1,1318360,2
27,2,1269532,2
27,3,1220704,2
27,4,1049804,2
27,5,1025390,2
27,6,659180,2
27,7,488282,2
27,8,341796,2
27,9,268554,2
27,10,317382,2
27,11,280761,2
27,12,82398,2
27,13,146484,2
27,14,91552,2
27,15,79346,2
27,16,64086,2
27,17,42724,2
27,18,103760,2
27,19,85449,2
27,20,45776,2
28,0,1367188,2
28,1,1367188,2
28,2,1318360,2
28,3,1269532,2
28,4,1171875,2
28,5,1074218,2
28,6,927734,2
28,7,634766,2
28,8,463868,2
28,9,390625,2
28,10,341796,2
28,11,195312,2
28,12,158691,2
28,13,100708,2
28,14,207519,2
28,15,48828,2
28,16,103760,2
28,17,91552,2
28,18,67138,2
28,19,73242,2
28,20,45776,2
29,0,1416016,2
29,1,1367188,2
29,2,1367188,2
29,3,1367188,2
29,4,1220704,2
29,5,1025390,2
29,6,927734,2
29,7,732422,2
29,8,683594,2
29,9,585938,2
29,10,305175,2
29,11,415040,2
29,12,268554,2
29,13,152588,2
29,14,207519,2
29,15,91552,2
29,16,195312,2
29,17,70190,2
29,18,115966,2
29,19,97656,2
29,20,103760,2
30,0,1416016,2
30,1,1416016,2
30,2,1416016,2
30,3,1367188,2
30,4,1318360,2
30,5,1220704,2
30,6,1074218,2
30,7,878906,2
30,8,756836,2
30,9,805664,2
30,10,305175,2
30,11,170898,2
30,12,280761,2
30,13,390625,2
30,14,317382,2
30,15,170898,2
30,16,158691,2
30,17,76294,2
30,18,61035,2
30,19,67138,2
30,20,82398,2
0,0,24,3
0,1,24,3
0,2,24,3
0,3,30,3
0,4,36,3
0,5,42,3
0,6,78,3
0,7,144,3
0,8,144,3
0,9,191,3
0,10,286,3
0,11,334,3
0,12,716,3
0,13,1144,3
0,14,2289,3
0,15,954,3
0,16,1144,3
0,17,2480,3
0,18,4960,3
0,19,3243,3
0,20,5341,3
1,0,24,3
