asp.mag,clim.sd,seeds,rep
6,0,58.11452865600586,1
6,1,59.604644775390625,1
6,2,65.56510925292969,1
6,3,74.50580596923828,1
6,4,99.8377799987793,1
6,5,119.20928955078125,1
6,6,163.91277313232422,1
6,7,211.59648895263672,1
6,8,256.2999725341797,1
6,9,292.06275939941406,1
6,10,476.837158203125,1
6,11,655.6510925292969,1
6,12,751.0185241699219,1
6,13,1084.8045349121094,1
6,14,1621.246337890625,1
6,15,1621.246337890625,1
6,16,1907.3486328125,1
6,17,2551.0787963867188,1
6,18,2717.9718017578125,1
6,19,3528.594970703125,1
6,20,5054.473876953125,1
6,21,5912.78076171875,1
6,22,5626.678466796875,1
6,23,6294.25048828125,1
6,24,8106.231689453125,1
6,25,10299.6826171875,1
6,26,9250.640869140625,1
6,27,11062.6220703125,1
6,28,13160.70556640625,1
6,29,11444.091796875,1
6,30,14305.11474609375,1
7,0,86.4267349243164,1
7,1,89.40696716308594,1
7,2,98.34766387939453,1
7,3,114.73894119262695,1
7,4,146.03137969970703,1
7,5,184.77439880371094,1
7,6,244.37904357910156,1
7,7,286.102294921875,1
7,8,375.50926208496094,1
7,9,464.9162292480469,1
7,10,619.8883056640625,1
7,11,739.09759521484375,1
7,12,1001.3580322265625,1
7,13,1168.2510375976562,1
7,14,1382.8277587890625,1
7,15,1764.2974853515625,1
7,16,2288.818359375,1
7,17,3218.6508178710938,1
7,18,2717.9718017578125,1
7,19,3528.594970703125,1
7,20,3576.2786865234375,1
7,21,4768.37158203125,1
7,22,7200.2410888671875,1
7,23,6008.148193359375,1
7,24,8010.8642578125,1
7,25,10490.41748046875,1
7,26,7104.8736572265625,1
7,27,12207.03125,1
7,28,12969.970703125,1
7,29,16021.728515625,1
7,30,11825.5615234375,1
8,0,140.07091522216797,1
8,1,146.03137969970703,1
8,2,151.9918441772461,1
8,3,208.6162567138672,1
8,4,235.43834686279297,1
8,5,298.0232238769531,1
8,6,363.5883331298828,1
8,7,429.1534423828125,1
8,8,500.67901611328125,1
8,9,584.1255187988281,1
8,10,631.8092346191406,1
8,11,762.939453125,1
8,12,810.6231689453125,1
8,13,1525.87890625,1
8,14,1978.8742065429688,1
8,15,1931.1904907226562,1
8,16,2193.450927734375,1
8,17,2908.7066650390625,1
8,18,3528.594970703125,1
8,19,4339.2181396484375,1
8,20,5245.208740234375,1
8,21,6675.72021484375,1
8,22,7629.39453125,1
8,23,7057.18994140625,1
8,24,8773.8037109375,1
8,25,9250.640869140625,1
8,26,8201.59912109375,1
8,27,10299.6826171875,1
8,28,13446.807861328125,1
8,29,11348.724365234375,1
8,30,19073.486328125,1
9,0,244.37904357910156,1
9,1,253.31974029541016,1
9,2,265.2406692504883,1
9,3,315.9046173095703,1
9,4,363.5883331298828,1
9,5,458.9557647705078,1
9,6,512.5999450683594,1
9,7,596.04644775390625,1
9,8,739.09759521484375,1
9,9,798.7022399902344,1
9,10,882.14874267578125,1
9,11,762.939453125,1
9,12,1502.0370483398438,1
9,13,1358.9859008789062,1
9,14,1573.5626220703125,1
9,15,2455.7113647460938,1
9,16,2479.55322265625,1
9,17,3480.9112548828125,1
9,18,3290.1763916015625,1
9,19,4148.4832763671875,1
9,20,4768.37158203125,1
9,21,4482.269287109375,1
9,22,7343.292236328125,1
9,23,8678.436279296875,1
9,24,8583.06884765625,1
9,25,11634.82666015625,1
9,26,12016.29638671875,1
9,27,12588.5009765625,1
9,28,18119.81201171875,1
9,29,19645.69091796875,1
9,30,14591.217041015625,1
10,0,470.87669372558594,1
10,1,482.79762268066406,1
10,2,494.7185516357422,1
10,3,578.1650543212891,1
10,4,643.73016357421875,1
10,5,703.3348083496094,1
10,6,810.6231689453125,1
10,7,727.1766662597656,1
10,8,834.46502685546875,1
10,9,1132.4882507324219,1
10,10,1263.6184692382812,1
10,11,1406.6696166992188,1
10,12,1549.7207641601562,1
10,13,1835.8230590820312,1
10,14,2622.6043701171875,1
10,15,2622.6043701171875,1
10,16,3147.125244140625,1
10,17,4243.8507080078125,1
10,18,3457.0693969726562,1
10,19,4291.534423828125,1
10,20,6055.8319091796875,1
10,21,5817.413330078125,1
10,22,7057.18994140625,1
10,23,8296.966552734375,1
10,24,8487.701416015625,1
10,25,9155.2734375,1
10,26,8773.8037109375,1
10,27,14686.58447265625,1
10,28,15640.2587890625,1
10,29,12588.5009765625,1
10,30,18310.546875,1
11,0,965.5952453613281,1
11,1,989.4371032714844,1
11,2,1049.041748046875,1
11,3,1156.3301086425781,1
11,4,1144.4091796875,1
11,5,1096.7254638671875,1
11,6,1263.6184692382812,1
11,7,1287.4603271484375,1
11,8,1335.14404296875,1
11,9,1549.7207641601562,1
11,10,1907.3486328125,1
11,11,1907.3486328125,1
11,12,2384.185791015625,1
11,13,2503.3950805664062,1
11,14,2288.818359375,1
11,15,2765.655517578125,1
11,16,3719.329833984375,1
11,17,4577.63671875,1
11,18,4434.5855712890625,1
11,19,5149.84130859375,1
11,20,5435.943603515625,1
11,21,6008.148193359375,1
11,22,6675.72021484375,1
11,23,8106.231689453125,1
11,24,11062.6220703125,1
11,25,10490.41748046875,1
11,26,10585.784912109375,1
11,27,11825.5615234375,1
11,28,14114.3798828125,1
11,29,24032.5927734375,1
11,30,17929.0771484375,1
12,0,2098.08349609375,1
12,1,2121.9253540039062,1
12,2,1931.1904907226562,1
12,3,2169.6090698242188,1
12,4,1835.8230590820312,1
12,5,2002.716064453125,1
12,6,2145.7672119140625,1
12,7,1645.0881958007812,1
12,8,2050.3997802734375,1
12,9,2360.3439331054688,1
12,10,2336.5020751953125,1
12,11,2145.7672119140625,1
12,12,2574.920654296875,1
12,13,2741.8136596679688,1
12,14,3719.329833984375,1
12,15,3528.594970703125,1
12,16,4386.90185546875,1
12,17,3957.7484130859375,1
12,18,5674.3621826171875,1
12,19,6484.9853515625,1
