asp.mag,clim.sd,mean.lt.lam,max.lt.lam,seeds,rep
21,19,0.637668859023862,0.6485036021424216,20217.8955078125,4
22,22,0.6286358366151017,0.6399057405213199,20790.10009765625,4
23,20,0.6209569852922853,0.6399206087106362,30136.1083984375,4
24,23,0.6140501935718883,0.629078348149354,40054.3212890625,4
25,25,0.6105567477858989,0.6287931458865162,37002.5634765625,4
26,23,0.6067025686354929,0.6213637970554277,35476.6845703125,4
27,28,0.5993333225612233,0.6101491352025744,48065.185546875,4
28,24,0.5969611495427529,0.6085204017451312,47302.24609375,4
29,30,0.5918971622245384,0.6022531079756548,44631.9580078125,4
30,25,0.5883268500528983,0.5968745262728989,61798.095703125,4
0,0,1.2561119487386405,1.2561119487386405,20.86162567138672,5
1,0,1.2524774236913772,1.2524774236913772,20.86162567138672,5
2,0,1.2415989558082265,1.2415989558082265,23.096799850463867,5
3,0,1.2235561850684853,1.2235561850684853,26.82209014892578,5
4,0,1.198495789451586,1.198495789451586,32.03749656677246,5
5,0,1.1666509339076359,1.1666509339076359,41.72325134277344,5
6,0,1.1283659083686621,1.1283659083686621,58.11452865600586,5
7,0,1.084123875412064,1.084123875412064,86.4267349243164,5
8,0,1.034574514797511,1.034574514797511,140.07091522216797,5
9,0,0.9805544375502931,0.9805544375502931,244.37904357910156,5
10,0,0.9230881865987866,0.9230881865987866,470.87669372558594,5
11,0,0.8633696472948229,0.8633696472948229,965.5952453613281,5
12,0,0.8027816983354942,0.8027816983354942,2098.08349609375,5
13,8,0.747952910462875,0.7609728356318737,2908.7066650390625,5
14,11,0.7283288692043473,0.7425578969979933,4482.269287109375,5
15,12,0.7052941112289526,0.7305305712202538,6198.883056640625,5
16,12,0.6887024744144454,0.7051513291806121,8964.53857421875,5
17,16,0.6734514921233269,0.6930694673856298,8201.59912109375,5
18,16,0.6640041596660482,0.6773356630339334,9346.00830078125,5
19,16,0.6525238244184988,0.6642509809191538,18882.75146484375,5
20,18,0.6447933495691993,0.6564829328303718,14305.11474609375,5
21,19,0.637668859023862,0.6485036021424216,21362.3046875,5
22,22,0.6286358366151017,0.6399057405213199,20980.8349609375,5
23,20,0.6209569852922853,0.6399206087106362,25939.94140625,5
24,23,0.6140501935718883,0.629078348149354,29754.638671875,5
25,25,0.6105567477858989,0.6287931458865162,22506.7138671875,5
26,23,0.6067025686354929,0.6213637970554277,40817.2607421875,5
27,28,0.5993333225612233,0.6101491352025744,63323.974609375,5
28,24,0.5969611495427529,0.6085204017451312,73242.1875,5
29,30,0.5918971622245384,0.6022531079756548,48065.185546875,5
30,25,0.5883268500528983,0.5968745262728989,90789.794921875,5
0,0,1.2561119487386405,1.2561119487386405,20.86162567138672,6
1,0,1.2524774236913772,1.2524774236913772,20.86162567138672,6
2,0,1.2415989558082265,1.2415989558082265,23.096799850463867,6
3,0,1.2235561850684853,1.2235561850684853,26.82209014892578,6
4,0,1.198495789451586,1.198495789451586,32.03749656677246,6
5,0,1.1666509339076359,1.1666509339076359,41.72325134277344,6
6,0,1.1283659083686621,1.1283659083686621,58.11452865600586,6
7,0,1.084123875412064,1.084123875412064,86.4267349243164,6
8,0,1.034574514797511,1.034574514797511,140.07091522216797,6
9,0,0.9805544375502931,0.9805544375502931,244.37904357910156,6
10,0,0.9230881865987866,0.9230881865987866,470.87669372558594,6
11,0,0.8633696472948229,0.8633696472948229,965.5952453613281,6
12,0,0.8027816983354942,0.8027816983354942,2098.08349609375,6
13,8,0.747952910462875,0.7609728356318737,3480.9112548828125,6
14,11,0.7283288692043473,0.7425578969979933,4625.3204345703125,6
15,12,0.7052941112289526,0.7305305712202538,4529.9530029296875,6
16,12,0.6887024744144454,0.7051513291806121,8106.231689453125,6
17,16,0.6734514921233269,0.6930694673856298,9441.375732421875,6
18,16,0.6640041596660482,0.6773356630339334,13351.4404296875,6
19,16,0.6525238244184988,0.6642509809191538,13732.91015625,6
20,18,0.6447933495691993,0.6564829328303718,17356.87255859375,6
21,19,0.637668859023862,0.6485036021424216,24414.0625,6
22,22,0.6286358366151017,0.6399057405213199,25939.94140625,6
